Column1,Pa’s,Qnt de Casos,NewCases,îbitos,NewDeaths,Recuperados,ActiveCases,"Serious,Critical",TotÂ Cases/1M pop,Deaths/1M pop,Qnt de Testes,"Tests/
1M pop"
0,World,"1,201,473","84,811","64,691","5,517","246,383","890,399","42,288",154,8.3,"8,560,427",
1,USA,"311,357","34,196","8,452","1,048","14,741","288,164","8,206",941,26,"1,632,955","4,933"
2,Spain,"126,168","6,969","11,947",749,"34,219","80,002","6,532","2,699",256,"355,000","7,593"
3,Italy,"124,632","4,805","15,362",681,"20,996","88,274","3,994","2,061",254,"657,224","10,870"
4,Germany,"96,092","4,933","1,444",169,"26,400","68,248","3,936","1,147",17,"918,460","10,962"
5,France,"89,953","7,788","7,560","1,053","15,438","66,955","6,838","1,378",116,"224,254","3,436"
6,Iran,"55,743","2,560","3,452",158,"19,736","32,555","4,103",664,41,"186,000","2,214"
7,UK,"41,903","3,735","4,313",708,135,"37,455",163,617,64,"183,190","2,698"
8,Turkey,"23,934","3,013",501,76,786,"22,647","1,311",284,6,"161,380","1,913"
9,Switzerland,"20,505",899,666,75,"6,415","13,424",391,"2,369",77,"153,440","17,729"
10,Belgium,"18,431","1,661","1,283",140,"3,247","13,901","1,245","1,590",111,"70,000","6,040"
11,Netherlands,"16,627",904,"1,651",164,250,"14,726","1,360",970,96,"75,415","4,401"
12,Canada,"13,912","1,537",231,23,"2,595","11,086",120,369,6,"317,972","8,425"
13,Austria,"11,781",257,186,18,"2,507","9,088",245,"1,308",21,"104,134","11,562"
14,Portugal,"10,524",638,266,20,75,"10,183",251,"1,032",26,"81,087","7,952"
15,Brazil,"10,360","1,166",445,82,127,"9,788",296,49,2,"54,824",258
16,S. Korea,"10,156",94,177,3,"6,325","3,654",55,198,3,"455,032","8,875"
17,Israel,"7,851",423,44,4,427,"7,380",115,907,5,"90,394","10,443"
18,Sweden,"6,443",312,373,15,205,"5,865",379,638,37,"36,900","3,654"
19,Norway,"5,550",180,62,3,32,"5,456",98,"1,024",11,"105,865","19,528"
20,Australia,"5,550",96,30,2,585,"4,935",85,218,1,"286,786","11,247"
21,Russia,"4,731",582,43,9,333,"4,355",8,32,0.3,"639,606","4,383"
22,Ireland,"4,604",331,137,17,25,"4,442",148,932,28,"30,213","6,119"
23,Czechia,"4,472",282,59,6,78,"4,335",87,418,6,"74,170","6,926"
24,Chile,"4,161",424,27,5,528,"3,606",38,218,1,"48,613","2,543"
25,Denmark,"4,077",320,161,22,"1,283","2,633",142,704,28,"45,270","7,816"
26,Poland,"3,627",244,79,8,116,"3,432",50,96,2,"72,901","1,926"
27,Romania,"3,613",430,146,13,329,"3,138",119,188,8,"36,092","1,876"
28,India,"3,588",529,99,13,229,"3,260",,3,0.07,"116,608",84
29,Malaysia,"3,483",150,57,4,915,"2,511",99,108,2,"49,570","1,532"
30,Ecuador,"3,465",97,172,27,100,"3,193",100,196,10,"11,309",641
31,Japan,"3,139",204,77,8,514,"2,548",64,25,0.6,"42,882",339
32,Philippines,"3,094",76,144,8,57,"2,893",1,28,1,"5,530",50
33,Pakistan,"2,818",132,41,1,131,"2,646",13,13,0.2,"30,308",137
34,Luxembourg,"2,729",117,31,,500,"2,198",35,"4,360",50,"22,793","36,412"
35,Saudi Arabia,"2,179",140,29,4,420,"1,730",41,63,0.8,,
36,Indonesia,"2,092",106,191,10,150,"1,751",,8,0.7,"7,896",29
37,Thailand,"2,067",89,20,1,674,"1,373",23,30,0.3,"23,669",339
38,Finland,"1,882",267,25,5,300,"1,557",72,340,5,"29,000","5,234"
39,Panama,"1,801",128,46,5,13,"1,742",50,417,11,"7,333","1,700"
40,Peru,"1,746",151,73,12,914,759,88,53,2,"17,841",541
41,Mexico,"1,688",178,60,10,633,995,1,13,0.5,"15,668",122
42,Greece,"1,673",60,68,5,78,"1,527",92,161,7,"22,437","2,153"
43,Serbia,"1,624",148,44,5,54,"1,526",89,186,5,"6,401",733
44,South Africa,"1,585",80,9,,95,"1,481",7,27,0.2,"53,937",909
45,Dominican Republic,"1,578",90,77,9,17,"1,484",147,145,7,"4,542",419
46,UAE,"1,505",241,10,1,125,"1,370",2,152,1,"220,000","22,244"
47,Argentina,"1,451",98,43,1,279,"1,129",,32,1,"8,488",188
48,Iceland,"1,417",53,4,,396,"1,017",12,"4,152",12,"23,640","69,276"
49,Colombia,"1,406",139,32,7,85,"1,289",50,28,0.6,"23,706",466
50,Qatar,"1,325",250,3,,109,"1,213",37,460,1,"31,951","11,090"
51,Algeria,"1,251",80,130,25,90,"1,031",,29,3,"3,359",77
52,Ukraine,"1,225",153,32,5,25,"1,168",16,28,0.7,"5,040",115
53,Singapore,"1,189",75,6,1,297,886,24,203,1,"39,000","6,666"
54,Croatia,"1,126",47,12,4,119,995,39,274,3,"9,833","2,395"
55,Egypt,"1,070",85,71,5,241,758,,10,0.7,"25,000",244
56,Estonia,"1,039",78,13,1,59,967,20,783,10,"19,091","14,392"
57,Slovenia,977,43,22,2,79,876,31,470,11,"27,109","13,040"
58,New Zealand,950,82,1,,127,822,1,197,0.2,"33,116","6,867"
59,Morocco,919,128,59,11,66,794,1,25,2,"4,321",117
60,Iraq,878,58,56,2,259,563,,22,1,,
61,Hong Kong,862,17,4,,173,685,8,115,0.5,"90,000","12,005"
62,Lithuania,771,75,11,2,7,753,11,283,4,"21,376","7,852"
63,Armenia,770,34,7,,43,720,30,260,2,"3,994","1,348"
64,Moldova,752,161,12,4,29,711,65,186,3,681,169
65,Diamond Princess,712,,11,,619,82,10,,,,
66,Bahrain,688,16,4,,423,261,3,404,2,"39,379","23,143"
67,Hungary,678,55,32,6,58,588,17,70,3,"19,424","2,011"
68,Bosnia and Herzegovina,624,45,21,4,30,573,4,190,6,"5,349","1,630"
69,Cameroon,555,46,9,1,17,529,,21,0.3,,
70,Tunisia,553,58,18,,5,530,26,47,2,"6,485",549
71,Kazakhstan,531,67,5,2,36,490,6,28,0.3,316,17
72,Azerbaijan,521,78,5,,32,484,17,51,0.5,"35,000","3,452"
73,Lebanon,520,12,17,,54,449,27,76,2,"9,022","1,322"
74,Latvia,509,16,1,,1,507,3,270,0.5,"19,380","10,275"
75,Bulgaria,503,18,17,3,34,452,26,72,2,566,81
76,North Macedonia,483,53,17,5,20,446,11,232,8,"4,920","2,362"
77,Kuwait,479,62,1,1,93,385,17,112,0.2,,
78,Slovakia,471,21,1,,10,460,3,86,0.2,"13,631","2,497"
79,Andorra,466,27,17,1,21,428,12,"6,031",220,,
80,Belarus,440,89,5,1,53,382,11,47,0.5,"32,000","3,386"
81,Costa Rica,435,19,2,,13,420,13,85,0.4,"4,654",914
82,Cyprus,426,30,9,-2,33,384,11,353,7,"10,154","8,410"
83,Uruguay,400,14,5,1,93,302,13,115,1,"5,063","1,458"
84,Taiwan,355,7,5,,50,300,,15,0.2,"36,304","1,524"
85,RÃ©union,334,13,,,40,294,4,373,,,
86,Albania,333,29,20,3,99,214,7,116,7,"2,247",781
87,Jordan,323,13,5,,74,244,5,32,0.5,239,23
88,Burkina Faso,318,16,16,,66,236,,15,0.8,,
89,Afghanistan,299,18,7,1,10,282,,8,0.2,,
90,Cuba,288,19,6,,15,267,11,25,0.5,"3,342",295
91,Oman,277,25,2,1,61,214,3,54,0.4,,
92,Uzbekistan,266,39,2,,25,239,8,8,0.06,,
93,Honduras,264,42,15,,3,246,10,27,2,,
94,Channel Islands,262,30,5,1,13,244,,"1,507",29,,
95,San Marino,259,8,32,,27,200,14,"7,633",943,586,"17,270"
96,Ivory Coast,245,27,1,,25,219,,9,0.04,,
97,Vietnam,240,1,,,90,150,3,2,,"75,458",775
98,Senegal,219,12,2,1,72,145,1,13,0.1,195,12
99,Palestine,217,23,1,,21,195,,43,0.2,"7,553","1,481"
100,Nigeria,214,4,4,,25,185,2,1,0.02,"4,000",19
101,Malta,213,11,,,2,211,3,482,,"9,703","21,975"
102,Ghana,205,,5,,31,169,2,7,0.2,,
103,Montenegro,201,27,2,,1,198,4,320,3,"1,456","2,318"
104,Mauritius,196,10,7,,7,182,1,154,6,,
105,Faeroe Islands,181,2,,,93,88,2,"3,704",,"4,800","98,234"
106,Sri Lanka,166,7,5,1,27,134,5,8,0.2,,
107,Georgia,162,7,1,1,36,125,6,41,0.3,,
108,Venezuela,155,2,7,,52,96,6,5,0.2,"1,779",63
109,DRC,154,6,18,2,3,133,,2,0.2,,
110,Martinique,145,2,3,,27,115,22,386,8,,
111,Niger,144,24,8,3,,136,,6,0.3,"4,012",166
112,Kyrgyzstan,144,14,1,,9,134,5,22,0.2,"9,618","1,474"
113,Bolivia,139,7,10,1,1,128,3,12,0.9,591,51
114,Brunei,135,1,1,,66,68,3,309,2,"7,801","17,832"
115,Guadeloupe,134,4,7,,24,103,14,335,17,,
116,Mayotte,134,6,2,,14,118,3,491,7,479,"1,756"
117,Kenya,126,4,4,,4,118,2,2,0.07,"2,201",41
118,Isle of Man,126,12,1,,,125,,"1,482",12,"1,319","15,512"
119,Cambodia,114,,,,50,64,1,7,,"5,768",345
120,Guinea,111,38,,,5,106,,8,,,
121,Trinidad and Tobago,103,5,6,,1,96,,74,4,736,526
122,Rwanda,102,13,,,,102,,8,,,
123,Gibraltar,98,3,,,52,46,,"2,909",,"1,269","37,666"
124,Paraguay,96,4,3,,12,81,2,13,0.4,"1,289",181
125,Liechtenstein,77,2,1,1,,76,,"2,020",26,900,"23,605"
126,Bangladesh,70,9,8,2,30,32,1,0.4,0.05,"2,086",13
127,Madagascar,70,,,,,70,6,3,,,
128,Monaco,66,2,1,,3,62,2,"1,682",25,,
129,Aruba,64,2,,,1,63,,599,,863,"8,083"
130,Guatemala,61,11,2,1,15,44,1,3,0.1,"1,134",63
131,French Guiana,61,4,,,22,39,1,204,,,
132,El Salvador,56,10,3,,2,51,4,9,0.5,,
133,Jamaica,53,,3,,7,43,,18,1,540,182
134,Barbados,52,1,,,,52,,181,,382,"1,329"
135,Djibouti,50,1,,,8,42,,51,,,
136,Uganda,48,,,,,48,,1,,"2,629",57
137,Macao,44,2,,,10,34,,68,,,
138,Mali,41,2,3,,1,37,,2,0.1,,
139,Togo,41,1,3,,17,21,,5,0.4,,
140,French Polynesia,40,1,,,,40,1,142,,583,"2,075"
141,Zambia,39,,1,,2,36,,2,0.05,619,34
142,Ethiopia,38,3,,,4,34,1,0.3,,"1,222",11
143,Bermuda,37,2,,,14,23,,594,,291,"4,673"
144,Cayman Islands,35,6,1,,1,33,,533,15,319,"4,854"
145,Eritrea,29,7,,,,29,,8,,,
146,Bahamas,28,4,4,1,,24,1,71,10,,
147,Saint Martin,24,2,2,1,5,17,6,621,52,18,466
148,Guyana,23,,4,,,19,,29,5,83,106
149,Sint Maarten,23,,4,,6,13,,536,93,82,"1,912"
150,Congo,22,,2,,2,18,,4,0.4,,
151,Gabon,21,,1,,1,19,,9,0.4,,
152,Myanmar,21,1,1,,,20,,0.4,0.02,,
153,Tanzania,20,,1,,3,16,,0.3,0.02,,
154,Haiti,20,2,,,1,19,,2,,200,18
155,Maldives,19,,,,13,6,,35,,,
156,Libya,18,1,1,,,17,,3,0.1,131,19
157,Guinea-Bissau,18,3,,,,18,,9,,,
158,New Caledonia,17,,,,1,16,,60,,"1,390","4,869"
159,Syria,16,,2,,2,12,,0.9,0.1,,
160,Benin,16,,,,2,14,,1,,,
161,Equatorial Guinea,16,,,,1,15,,11,,,
162,Antigua and Barbuda,15,,,,,15,1,153,,40,408
163,Dominica,14,,,,,14,,194,,255,"3,542"
164,Mongolia,14,,,,2,12,,4,,,
165,Namibia,14,,,,3,11,,6,,301,118
166,Saint Lucia,14,1,,,1,13,,76,,,
167,Fiji,12,5,,,,12,,13,,,
168,Grenada,12,,,,,12,2,107,,45,400
169,CuraÃ§ao,11,,1,,5,5,,67,6,,
170,Greenland,11,1,,,3,8,,194,,542,"9,547"
171,Angola,10,2,2,,2,6,,0.3,0.06,,
172,Sudan,10,,2,,2,6,,0.2,0.05,,
173,Liberia,10,3,1,1,3,6,,2,0.2,,
174,Suriname,10,,1,,,9,,17,2,,
175,Laos,10,,,,,10,,1,,437,60
176,Mozambique,10,,,,1,9,,0.3,,338,11
177,Seychelles,10,,,,,10,,102,,,
178,MS Zaandam,9,,2,,,7,,,,,
179,Zimbabwe,9,,1,,,8,,0.6,0.07,316,21
180,Nepal,9,3,,,1,8,,0.3,,"1,521",52
181,Chad,9,1,,,,9,,0.5,,,
182,Saint Kitts and Nevis,9,,,,,9,,169,,113,"2,124"
183,Eswatini,9,,,,,9,,8,,,
184,CAR,8,,,,,8,,2,,,
185,Cabo Verde,7,1,1,,,6,,13,2,,
186,Vatican City,7,,,,,7,,"8,739",,,
187,St. Vincent Grenadines,7,,,,1,6,,63,,,
188,Somalia,7,,,,1,6,,0.4,,,
189,Mauritania,6,,1,,2,3,,1,0.2,67,14
190,Montserrat,6,,,,,6,,"1,202",,,
191,St. Barth,6,,,,1,5,,607,,,
192,Nicaragua,5,,1,,,4,,0.8,0.2,,
193,Bhutan,5,,,,2,3,,6,,,
194,Turks and Caicos,5,,,,,5,,129,,,
195,Botswana,4,,1,,,3,,2,0.4,175,74
196,Gambia,4,,1,,2,1,,2,0.4,,
197,Belize,4,,,,,4,,10,,25,63
198,Malawi,4,1,,,,4,,0.2,,,
199,Sierra Leone,4,2,,,,4,,0.5,,2,0.3
200,Western Sahara,4,4,,,,4,,7,,,
201,Anguilla,3,,,,,3,,200,,,
202,British Virgin Islands,3,,,,,3,,99,,,
203,Burundi,3,,,,,3,,0.3,,2,0.2
204,Caribbean Netherlands,2,,,,,2,,76,,10,381
205,Falkland Islands,1,,,,,1,,287,,,
206,Papua New Guinea,1,,,,,1,,0.1,,72,8
207,Timor-Leste,1,,,,,1,,0.8,,,
208,China,"81,669",30,"3,329",3,"76,964","1,376",295,57,2,,
209,Total:,"1,201,473","84,812","64,691","5,517","246,383","890,399","42,288",154.1,8.3,,